COUNTRY,INSTITUTION,INSTITUTION TYPE,INSTITUTION WEBSITE,INSTITUTION WIKIDATA,OPEN ACCESS SCOPE,LICENCE/RIGHTS STATEMENT FOR DIGITAL SURROGATES OF PUBLIC DOMAIN OBJECTS ,CLOSEST EQUIVALENT LICENCE (IF USING NON-STANDARD),RIGHTS POLICY OR TERMS OF USE,"LICENCE/RIGHTS STATEMENT FOR METADATA 
(IF STATED)",GITHUB,API,DATA SOURCE(S),,,,,,,,,,,
Belgium,Koninklijke Bibliotheek van België,Library,https://www.kbr.be,https://www.wikidata.org/wiki/Q383931,Some eligible data,CC0,,https://www.kbr.be/en/legal-information#Intellectual%20property,,,,https://commons.wikimedia.org/wiki/Category:Images_from_the_Royal_Library_of_Belgium,,,,,,,,,,,
Belgium,Letterenhuis,Museum,https://www.letterenhuis.be,https://www.wikidata.org/wiki/Q3813695,Some eligible data,Public Domain Mark,,https://www.letterenhuis.be/nl/pagina/reproducties,,,,https://commons.wikimedia.org/wiki/Category:Images_from_AMVC_Letterenhuis,,,,,,,,,,,
Belgium,Liberas (Het Liberaal Archief),Archive,http://www.liberas.eu,https://www.wikidata.org/wiki/Q2745365,Some eligible data,No known copyright restrictions,No Known Copyright,http://www.liberaalarchief.be/LiberaalArchief-NoKnownCopyrightRestrictions.pdf,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/142575440@N02/,,,,,,,,,,,
Belgium,Museum Plantin-Moretus ,Museum,https://www.museumplantinmoretus.be,https://www.wikidata.org/wiki/Q595802,All eligible data,CC BY,,http://search.museumplantinmoretus.be/static/opendata,CC0,,https://pro.europeana.eu/page/api-rest-console,http://search.museumplantinmoretus.be/static/opendata,,,,,,,,,,,
Belgium,Plantentuin Meise,Other,https://www.plantentuinmeise.be,https://www.wikidata.org/wiki/Q3052500,Some eligible data,CC BY-SA,,https://www.plantentuinmeise.be/en/informatie/Disclaimer,,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=Meise+Botanic+Garden&f%5BREUSABILITY%5D%5B%5D=open,,,,,,,,,,,
Belgium,"Prentenkabinet, Universiteit Antwerpen",University,https://www.uantwerpen.be,https://www.wikidata.org/wiki/Q47885560,Some eligible data,CC0,,https://www.uantwerpen.be/en/about-uantwerp/mission-vision/terms-of-use/,,,,https://commons.wikimedia.org/wiki/Category:Print_Room_of_the_University_of_Antwerp,,,,,,,,,,,
Belgium,Royal Museum of Fine Arts Antwerp,Museum,https://www.kmska.be,https://www.wikidata.org/wiki/Q1471477,Some eligible data,CC0,,,,,,https://commons.wikimedia.org/wiki/Category:Images_from_the_Royal_Museum_of_Fine_Arts_Antwerp,,,,,,,,,,,
Belgium,Universiteitsbibliotheek Gent,Library,https://lib.ugent.be,https://www.wikidata.org/wiki/Q611001,All eligible data,CC BY-SA,,https://lib.ugent.be/en/info/open,CC0,,https://pro.europeana.eu/page/api-rest-console,https://lib.ugent.be/info/exports,,,,,,,,,,,
Brazil,Biblioteca Brasiliana Guita e José Mindlin,Library,https://www.bbm.usp.br,https://www.wikidata.org/wiki/Q18500412,All eligible data,Public Domain Mark,,https://www.bbm.usp.br/normas,,,,https://digital.bbm.usp.br/handle/bbm-ext/1,,,,,,,,,,,
Brazil,"Museu da Imigração, São Paulo",Museum,http://museudaimigracao.org.br,https://www.wikidata.org/wiki/Q3854482,Some eligible data,CC BY-SA,,,,,,https://commons.wikimedia.org/wiki/Category:Media_contributed_by_the_Immigration_Museum_of_the_State_of_S%C3%A3o_Paulo?uselang=pt,,,,,,,,,,,
Brazil,Museu de Anatomia Veterinária da Faculdade de Medicina Veterinária e Zootecnia da USP,Museum,http://mav.fmvz.usp.br,https://www.wikidata.org/wiki/Q10333736,Some eligible data,CC BY-SA,,http://mav.fmvz.usp.br/en/,,,,https://commons.wikimedia.org/wiki/Category:Museum_of_Veterinary_Anatomy_(FMVZ_USP),,,,,,,,,,,
Brazil,Museu de Zoologia da Universidade de São Paulo,Museum,http://www.mz.usp.br,https://www.wikidata.org/wiki/Q4193904,All eligible data,CC BY-SA,,,,,,https://commons.wikimedia.org/wiki/Category:Collections_of_the_Museu_de_Zoologia_da_Universidade_de_S%C3%A3o_Paulo,,,,,,,,,,,
Brazil,Museu do Homem do Nordeste,Museum,http://www.fundaj.gov.br,https://www.wikidata.org/wiki/Q10333902,All eligible data,Public Domain Mark,,,,,,http://villadigital.fundaj.gov.br,,,,,,,,,,,
Brazil,Musica Brasilis,Museum,http://musicabrasilis.org.br,https://www.wikidata.org/wiki/Q25427665,Some eligible data,CC BY-SA,,,,,,http://musicabrasilis.org.br/partituras,,,,,,,,,,,
Brazil,Senado Federal do Brasil,Other,http://www.senado.leg.br,https://www.wikidata.org/wiki/Q2119413,Some eligible data,No known copyright restrictions,No Known Copyright,http://www12.senado.gov.br/noticias/arquivo-de-imagens-no-flickr-commons,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/senadothecommons,,,,,,,,,,,
Bulgaria,NALIS Foundation,Library,http://www.nalis.bg,https://www.wikidata.org/wiki/Q27163637,Some eligible data,Public Domain Mark,,http://www.nalis.bg/,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=NALIS+Foundation&per_page=72&q=&view=grid&f%5BREUSABILITY%5D%5B%5D=open,,,,,,,,,,,
Bulgaria,Национална библиотека „Св. св. Кирил и Методий“ (SS. Cyril and Methodius National Library),Library,http://www.nationallibrary.bg,https://www.wikidata.org/wiki/Q631641,All eligible data,Public Domain Mark,,http://www.nationallibrary.bg/wp/?page_id=1444&lang=en,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BCOUNTRY%5D%5B%5D=Bulgaria&f%5BREUSABILITY%5D%5B%5D=open&per_page=72&q=&view=grid&f%5BREUSABILITY%5D%5B%5D=restricted,,,,,,,,,,,
Bulgaria,"Регионална библиотека ""Пенчо Славейков"" (Pencho Slaveykov Regional Library)",Library,http://www.libvar.bg,,All eligible data,CC0,,http://catalog.rodina-bg.org/absw/abs.htm,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BCOUNTRY%5D%5B%5D=Bulgaria&f%5BREUSABILITY%5D%5B%5D=open&per_page=72&q=&view=grid&f%5BREUSABILITY%5D%5B%5D=restricted,,,,,,,,,,,
